Note: modified from pivot table because a few bands existed under both P and 1+ categories. P is retained,,,,,,,,,,CURRENT VERSION: 12/07/2025,,,,,,,
Age,Band,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
P,162-87419,,,,,,,,,,1,,,,,,
P,162-87420,,,,,,,,,,1,,,,,,
P,162-87421,,,,,,,,,,1,,,,,,
P,162-87422,,,,,,,,,,1,,,,,,
P,162-87423,,,,,,,,,,1,,,,,,
1+,162-87424,,,,,,,,,,1,,,,,,
1+,162-87425,,,,,,,,,,1,,,,,,
P,162-87426,,,,,,,,,,1,,,,,,
P,162-87427,,,,,,,,,,1,,,,,,
P,162-87428,,,,,,,,,,1,,,,,,
P,162-87429,,,,,,,,,,1,,,,,,
P,162-87430,,,,,,,,,,1,,,,,,
P,162-87431,,,,,,,,,,1,,,,,,
P,162-87432,,,,,,,,,,1,,,,,,
P,162-87433,,,,,,,,,,1,,,,,,
P,162-87434,,,,,,,,,,1,,,,,,
1+,162-87435,,,,,,,,,,1,,,,,,
P,162-87436,,,,,,,,,,1,,,,,,
P,162-87437,,,,,,,,,,1,,,,,,
1+,162-87438,,,,,,,,,,1,,,,,,
1+,162-87439,,,,,,,,,,1,,1,,,,
P,162-87440,,,,,,,,,,1,,,,,,
P,162-87441,,,,,,,,,,1,,,,,,
1+,162-87442,,,,,,,,,,1,,,,,,
P,162-87443,,,,,,,,,,1,,,,,,
P,162-87444,,,,,,,,,,1,,,,,,
P,162-87445,,,,,,,,,,1,,,,,,
P,162-87446,,,,,,,,,,1,,,,,,
P,162-87447,,,,,,,,,,1,,,,,,
P,162-87448,,,,,,,,,,1,,,,,,
P,162-87449,,,,,,,,,,1,,,,,,
P,162-87450,,,,,,,,,,1,,,,,,
P,162-87451,,,,,,,,,,1,,,,,,
P,162-87452,,,,,,,,,,1,,,,,,
P,162-87453,,,,,,,,,,1,,,,,,
P,162-87454,,,,,,,,,,1,,,,,,
1+,162-87455,,,,,,,,,,1,,,,,,
P,162-87456,,,,,,,,,,1,,,,,,
P,162-87457,,,,,,,,,,1,,,,,,
P,162-87458,,,,,,,,,,1,,,,,,
P,162-87459,,,,,,,,,,1,,,,,,
1+,162-87460,,,,,,,,,,1,,,,,,
P,162-87461,,,,,,,,,,1,,,,,,
P,162-87462,,,,,,,,,,1,,,,,,
P,162-87463,,,,,,,,,,1,,,,,,
P,162-87464,,,,,,,,,,1,,,,,,
P,162-87465,,,,,,,,,,1,,,,,,
P,162-87466,,,,,,,,,,1,,,,,,
P,162-87467,,,,,,,,,,1,,,,,,
P,162-87468,,,,,,,,,,1,,,,,,
P,162-87469,,,,,,,,,,1,,,,,,
P,162-87470,,,,,,,,,,1,,,,,,
P,162-87471,,,,,,,,,,1,,,,,,
P,162-87472,,,,,,,,,,1,,,,,,
P,162-87473,,,,,,,,,,1,,,,,,
P,162-87474,,,,,,,,,,1,,,,,,
P,162-87475,,,,,,,,,,1,,,,,,
P,162-87476,,,,,,,,,,1,,,,,,
P,162-87477,,,,,,,,,,1,,,,,,
P,162-87478,,,,,,,,,,1,,,,,,
P,162-87479,,,,,,,,,,1,,,,,,
P,162-87480,,,,,,,,,,1,,,,,,
P,162-87481,,,,,,,,,,1,,,,,,
P,162-87482,,,,,,,,,,1,,,,,,
P,162-87483,,,,,,,,,,1,,,,,,
P,162-87484,,,,,,,,,,1,,,,,,
P,162-87485,,,,,,,,,,1,,,,,,
P,162-87486,,,,,,,,,,1,,,,,,
P,162-87488,,,,,,,,,,,,1,,,,
P,162-87489,,,,,,,,,,,,1,,,,
P,162-87490,,,,,,,,,,,,1,,,,
P,162-87491,,,,,,,,,,,,1,,,,
P,162-87492,,,,,,,,,,,,1,,,,
P,162-87493,,,,,,,,,,,,1,,,,
P,162-87494,,,,,,,,,,,,1,,,,
P,162-87495,,,,,,,,,,,,1,,,,
P,162-87496,,,,,,,,,,,,1,,,,
P,162-87497,,,,,,,,,,,,1,,,,
P,162-87498,,,,,,,,,,,,1,,,,
P,162-87499,,,,,,,,,,,,1,,,,
A,162-89552,,,,,,,,,,,,,,,,1
A,162-89553,,,,,,,,,,,,,,,,1
A,162-89554,,,,,,,,,,,,,,,,1
A,162-89555,,,,,,,,,,,,,,,,1
A,162-89556,,,,,,,,,,,,,,,,1
A,162-89557,,,,,,,,,,,,,,,,1
A,162-89558,,,,,,,,,,,,,,,,1
A,162-89559,,,,,,,,,,,,,,,,1
A,162-89560,,,,,,,,,,,,,,,,1
A,162-89561,,,,,,,,,,,,,,,,1
A,162-89562,,,,,,,,,,,,,,,,1
A,162-89563,,,,,,,,,,,,,,,,1
A,162-89564,,,,,,,,,,,,,,,,1
A,162-89565,,,,,,,,,,,,,,,,1
A,162-89566,,,,,,,,,,,,,,,,1
A,162-89567,,,,,,,,,,,,,,,,1
A,162-89568,,,,,,,,,,,,,,,,1
A,162-89569,,,,,,,,,,,,,,,,1
A,162-89570,,,,,,,,,,,,,,,,1
A,162-89571,,,,,,,,,,,,,,,,1
P,162-89651,,,,,,,,,,,,,1,,,
P,162-89652,,,,,,,,,,,,,1,,,
P,162-89653,,,,,,,,,,,,,1,,,
P,162-89654,,,,,,,,,,,,,1,,,
P,162-89655,,,,,,,,,,,,,1,,,
P,162-89656,,,,,,,,,,,,,1,,,
P,162-89657,,,,,,,,,,,,,1,,,
P,162-89658,,,,,,,,,,,,,1,,,
P,162-89659,,,,,,,,,,,,,1,,,
P,162-89661,,,,,,,,,,,,,1,,,
P,162-89662,,,,,,,,,,,,,1,,,
P,162-89663,,,,,,,,,,,,,1,,,
P,162-89670,,,,,,,,,,,,,1,,,
P,162-89671,,,,,,,,,,,,,1,,,
P,162-89672,,,,,,,,,,,,,1,,,
P,162-89674,,,,,,,,,,,,,1,,,
P,162-89675,,,,,,,,,,,,,1,,,
P,162-89676,,,,,,,,,,,,,1,,,
P,162-89677,,,,,,,,,,,,,1,,,
P,162-89678,,,,,,,,,,,,,1,,,
P,162-89679,,,,,,,,,,,,,1,,,
1+,162-89681,,,,,,,,,,,,,,1,1,
1+,162-89682,,,,,,,,,,,,,,1,,
1+,162-89683,,,,,,,,,,,,,,1,,
1+,162-89684,,,,,,,,,,,,,,1,,
1+,162-89685,,,,,,,,,,,,,,1,,
1+,162-89687,,,,,,,,,,,,,,1,,
1+,162-89688,,,,,,,,,,,,,,1,,
1+,162-89689,,,,,,,,,,,,,,1,,
P,162-89690,,,,,,,,,,,,,,1,,
1+,162-89691,,,,,,,,,,,,,,1,,
1+,162-89692,,,,,,,,,,,,,,1,,
P,162-89693,,,,,,,,,,,,,,1,,
P,162-89694,,,,,,,,,,,,,,1,,
1+,162-89695,,,,,,,,,,,,,,1,,
P,162-89696,,,,,,,,,,,,,,1,,
1+,162-89697,,,,,,,,,,,,,,1,,
P,162-89698,,,,,,,,,,,,,,1,,
P,162-89699,,,,,,,,,,,,,,1,,
P,162-89700,,,,,,,,,,,,,,1,,
P,162-89701,,,,,,,,,,,,,,1,,
P,162-89702,,,,,,,,,,,,,,1,,
P,162-89703,,,,,,,,,,,,,,1,,
P,162-89704,,,,,,,,,,,,,,1,,
1+,162-89705,,,,,,,,,,,,,,,2,
1+,162-89706,,,,,,,,,,,,,,,1,
1+,162-89707,,,,,,,,,,,,,,,1,
1+,162-89708,,,,,,,,,,,,,,,1,
1+,162-89709,,,,,,,,,,,,,,,1,
1+,162-89710,,,,,,,,,,,,,,,1,
1+,162-89711,,,,,,,,,,,,,,,1,
1+,162-89712,,,,,,,,,,,,,,,1,
1+,162-89713,,,,,,,,,,,,,,,1,
1+,162-89714,,,,,,,,,,,,,,,1,
1+,162-89715,,,,,,,,,,,,,,,1,
1+,162-89716,,,,,,,,,,,,,,,1,
1+,162-89717,,,,,,,,,,,,,,,1,
1+,162-89718,,,,,,,,,,,,,,,1,
1+,162-89719,,,,,,,,,,,,,,,1,
1+,162-89720,,,,,,,,,,,,,,,1,
1+,162-89721,,,,,,,,,,,,,,,1,
1+,162-89722,,,,,,,,,,,,,,,1,
1+,162-89723,,,,,,,,,,,,,,,1,
1+,162-89724,,,,,,,,,,,,,,,1,
1+,162-89725,,,,,,,,,,,,,,,1,
1+,162-89726,,,,,,,,,,,,,,,1,
1+,162-89727,,,,,,,,,,,,,,,1,
1+,162-89728,,,,,,,,,,,,,,,1,
1+,162-89729,,,,,,,,,,,,,,,1,
1+,162-89730,,,,,,,,,,,,,,,1,
1+,162-89731,,,,,,,,,,,,,,,1,
1+,162-89732,,,,,,,,,,,,,,,1,
P,162-89860,,,,,,,,,,,,1,,,,
P,162-89861,,,,,,,,,,,,1,,,,
P,162-89862,,,,,,,,,,,,1,,,,
P,162-89863,,,,,,,,,,,,1,,,,
P,162-89864,,,,,,,,,,,,1,,,,
P,162-89865,,,,,,,,,,,,1,,,,
P,162-89866,,,,,,,,,,,,1,,,,
P,162-89867,,,,,,,,,,,,1,,,,
P,162-89868,,,,,,,,,,,,1,,,,
P,162-89869,,,,,,,,,,,,1,,,,
P,162-89870,,,,,,,,,,,,1,,,,
P,162-89871,,,,,,,,,,,,1,,,,
P,162-89872,,,,,,,,,,,,1,,,,
P,162-89873,,,,,,,,,,,,1,,,,
1+,162-89874,,,,,,,,,,,,1,,,,
1+,162-89875,,,,,,,,,,,,1,,,,
1+,162-89876,,,,,,,,,,,,1,,,,
P,162-89884,,,,,,,,,,,,,1,,,
P,162-89885,,,,,,,,,,,,,1,,,
P,162-89886,,,,,,,,,,,,,1,,,
P,162-89887,,,,,,,,,,,,,1,,,
P,162-89888,,,,,,,,,,,,,1,,,
P,162-89889,,,,,,,,,,,,,1,,,
P,162-89890,,,,,,,,,,,,,1,,,
P,162-89891,,,,,,,,,,,,,1,,,
P,162-89892,,,,,,,,,,,,,1,,,
P,162-89893,,,,,,,,,,,,,1,,,
P,162-89894,,,,,,,,,,,,,1,,,
P,162-89895,,,,,,,,,,,,,1,,,
P,162-89896,,,,,,,,,,,,,1,,,
P,162-89897,,,,,,,,,,,,,1,,,
P,162-89898,,,,,,,,,,,,,1,,,
P,162-89899,,,,,,,,,,,,,1,,,
P,162-89900,,,,,,,,,,,,,1,,,
P,162-91051,,,,,,,,,,,,,,1,,
P,162-91052,,,,,,,,,,,,,,1,,
P,162-91053,,,,,,,,,,,,,,1,,
P,162-91054,,,,,,,,,,,,,,1,,
P,162-91055,,,,,,,,,,,,,,1,,
P,162-91056,,,,,,,,,,,,,,1,,
P,162-91057,,,,,,,,,,,,,,1,,
P,162-91058,,,,,,,,,,,,,,1,,
P,162-91059,,,,,,,,,,,,,,1,,
P,162-91060,,,,,,,,,,,,,,1,,
P,162-91061,,,,,,,,,,,,,,1,,
P,162-91062,,,,,,,,,,,,,,1,,
P,162-91063,,,,,,,,,,,,,,1,,
P,162-91064,,,,,,,,,,,,,,1,,
P,162-91065,,,,,,,,,,,,,,1,,
P,162-91066,,,,,,,,,,,,,,1,,
P,162-91068,,,,,,,,,,,,,,1,,
P,162-91069,,,,,,,,,,,,,,1,,
P,162-91070,,,,,,,,,,,,,,1,,
P,162-91071,,,,,,,,,,,,,,1,,
P,162-91072,,,,,,,,,,,,,,1,,
P,162-91073,,,,,,,,,,,,,,1,,
P,162-91074,,,,,,,,,,,,,,1,,
P,162-91075,,,,,,,,,,,,,,1,,
P,162-91076,,,,,,,,,,,,,,1,,
P,162-91077,,,,,,,,,,,,,,1,,
P,162-91078,,,,,,,,,,,,,,1,,
P,162-91079,,,,,,,,,,,,,,1,,
P,162-91080,,,,,,,,,,,,,,1,,
P,162-91081,,,,,,,,,,,,,,1,,
P,162-91082,,,,,,,,,,,,,,1,,
P,162-91083,,,,,,,,,,,,,,1,,
P,162-91084,,,,,,,,,,,,,,1,,
P,162-91085,,,,,,,,,,,,,,1,,
P,162-91086,,,,,,,,,,,,,,1,,
P,162-91087,,,,,,,,,,,,,,1,,
P,162-91088,,,,,,,,,,,,,,1,,
P,162-91089,,,,,,,,,,,,,,1,,
P,162-91090,,,,,,,,,,,,,,1,,
P,162-91091,,,,,,,,,,,,,,1,,
P,162-91092,,,,,,,,,,,,,,1,,
P,162-91093,,,,,,,,,,,,,,1,,
P,162-91094,,,,,,,,,,,,,,1,,
P,162-91097,,,,,,,,,,,,,,1,,
P,162-91098,,,,,,,,,,,,,,1,,
P,162-91099,,,,,,,,,,,,,,1,,
P,162-91100,,,,,,,,,,,,,,1,,
P,162-91101,,,,,,,,,,,,,,1,,
P,162-91102,,,,,,,,,,,,,,1,,
P,162-91103,,,,,,,,,,,,,,1,,
P,162-91104,,,,,,,,,,,,,,1,,
P,162-91105,,,,,,,,,,,,,,1,,
1+,162-91106,,,,,,,,,,,,,,1,,
P,162-91107,,,,,,,,,,,,,,1,,
1+,162-91108,,,,,,,,,,,,,,1,,
1+,162-91109,,,,,,,,,,,,,,1,,
P,162-91110,,,,,,,,,,,,,,1,,
P,162-91111,,,,,,,,,,,,,,1,,
P,162-91112,,,,,,,,,,,,,,1,,
P,162-91113,,,,,,,,,,,,,,1,,
P,162-91114,,,,,,,,,,,,,,1,,
P,162-91115,,,,,,,,,,,,,,1,,
P,162-91116,,,,,,,,,,,,,,1,,
P,162-91117,,,,,,,,,,,,,,1,,
P,162-91118,,,,,,,,,,,,,,1,,
P,162-91119,,,,,,,,,,,,,,1,,
P,162-91120,,,,,,,,,,,,,,1,,
P,162-91121,,,,,,,,,,,,,,1,,
P,162-91122,,,,,,,,,,,,,,1,,
P,162-91123,,,,,,,,,,,,,,1,,
P,162-91124,,,,,,,,,,,,,,1,,
P,162-91125,,,,,,,,,,,,,,1,,
P,162-91126,,,,,,,,,,,,,,1,,
P,162-91127,,,,,,,,,,,,,,1,,
1+,162-91128,,,,,,,,,,,,,,1,,
P,162-91129,,,,,,,,,,,,,,1,,
P,162-91130,,,,,,,,,,,,,,1,,
P,162-91131,,,,,,,,,,,,,,1,,
P,162-91132,,,,,,,,,,,,,,1,,
P,162-91133,,,,,,,,,,,,,,1,,
P,162-91134,,,,,,,,,,,,,,1,,
P,162-91135,,,,,,,,,,,,,,1,,
P,162-91136,,,,,,,,,,,,,,1,,
P,162-91137,,,,,,,,,,,,,,1,,
P,162-91138,,,,,,,,,,,,,,1,,
P,162-91139,,,,,,,,,,,,,,1,,
P,162-91140,,,,,,,,,,,,,,1,,
P,162-91141,,,,,,,,,,,,,,1,,
P,162-91142,,,,,,,,,,,,,,1,,
P,162-91143,,,,,,,,,,,,,,1,,
P,162-91144,,,,,,,,,,,,,,1,,
P,162-91145,,,,,,,,,,,,,,1,,
P,162-91146,,,,,,,,,,,,,,1,,
P,162-91147,,,,,,,,,,,,,,1,,
P,162-91148,,,,,,,,,,,,,,1,,
P,162-91149,,,,,,,,,,,,,,1,,
P,162-91150,,,,,,,,,,,,,,1,,
P,162-97240,,1,,,,,,,,,,,,,,
P,162-97241,,1,,,,,,,,,,,,,,
P,162-97242,,1,,,,,,,,,,,,,,
P,162-97254,,1,,,,,,,,,,,,,,
P,162-97255,,1,,,,,,,,,,,,,,
P,162-97256,,1,,,,,,,,,,,,,,
P,162-97257,,1,,,,,,,,,,,,,,
P,162-97258,,1,,,,,,,,,,,,,,
P,162-97259,,1,,,,,,,,,,,,,,
P,162-97260,,1,,,,,,,,,,,,,,
P,162-97261,,1,,,,,,,,,,,,,,
P,162-97262,,1,,,,,,,,,,,,,,
P,162-97263,,1,,,,,,,,,,,,,,
