Note: modified from pivot table because a few bands existed under both P and 1+ categories. P is retained,,,,,,,,,,CURRENT VERSION: 12/07/2025,,,,,,,
Age,Band,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
P,162-83021,,,,,1,,,,,,,,,,,
P,162-83022,,,,,1,,,,,,,,,,,
P,162-83023,,,,,1,,,,,,,,,,,
P,162-83024,,,,,1,,,,,,,,,,,
P,162-83025,,,,,1,,,,,,,,,,,
P,162-83026,,,,,1,,,,1,,,,,,,
P,162-83027,,,,,1,,1,,,,,,,,,
P,162-83028,,,,,1,,,,,,,,,,,
P,162-83029,,,,,1,,,,,,,,,,,
P,162-83030,,,,,1,,,,,,,,,,,
P,162-83031,,,,,1,,,,1,,,,,,,
P,162-83032,,,,,1,,,,,,,,,,,
P,162-83033,,,,,1,,,,,,,,,,,
P,162-83034,,,,,1,,,,,,,,,,,
P,162-83035,,,,,1,,,,,,,,,,,
P,162-83036,,,,,1,,,,,,,,,,,
P,162-83037,,,,,1,,,,,,,,,,,
P,162-83038,,,,,1,,,,,,,,,,,
P,162-83039,,,,,1,,,,,,,1,,,,
P,162-83040,,,,,1,,,,,,,,,,,
P,162-83041,,,,,1,,,,,,,,,,,
P,162-83042,,,,,1,,,,,,,,,,,
P,162-83043,,,,,1,,,,,,,,,,,
P,162-83044,,,,,1,,,,,,,,,,,
P,162-83057,,,,,1,,,,,,,,,,,
P,162-83058,,,,,1,,1,,,,,,,,,
P,162-83059,,,,,1,,,,,,,,,,,
P,162-83060,,,,,1,,,,,,,,,,,
P,162-83061,,,,,1,,,,,,,,,,,
P,162-83062,,,,,1,,,,,,,,,,,
P,162-83063,,,,,1,,,,,,,,,,,
1+,162-83064,,,,,,1,,,,,,,,,,
1+,162-83065,,,,,,1,1,,,,,,,,,
1+,162-83066,,,,,,1,1,,,,,,,,,
1+,162-83067,,,,,,1,,,,,,,,,,
1+,162-83068,,,,,,1,,,,,,,,,,
1+,162-83069,,,,,,1,,,,,,,,,,
1+,162-83070,,,,,,1,1,,,,,,,,,
1+,162-83071,,,,,,1,1,,,,,,,,,
1+,162-83072,,,,,,1,,,,,,,,,,
1+,162-83073,,,,,,1,1,,,,,,,,,
1+,162-83074,,,,,,1,1,,,,,,,,,
1+,162-83075,,,,,,1,1,,,,,,,,,
1+,162-83076,,,,,,1,,,,,,,,,,
1+,162-83077,,,,,,1,1,,,,,,,,,
1+,162-83078,,,,,,1,1,,,,,,,,,
1+,162-83079,,,,,,1,,,,,,,,,,
1+,162-83080,,,,,,1,1,,,,,,1,,,
1+,162-83081,,,,,,1,1,,,,,,,,,
1+,162-83082,,,,,,1,1,,,,,,,,,
1+,162-83083,,,,,,1,,,,,,,,,,
1+,162-83084,,,,,,1,,,,,,,,,,
1+,162-83085,,,,,,1,,,,,,,,,,
1+,162-83086,,,,,,1,,,,,,,,,,
P,162-83824,,,,,,1,,,,,,,,,,
P,162-83825,,,,,,1,,,,,,,,,,
P,162-83826,,,,,,1,,,,,,,1,,,
P,162-83827,,,,,,1,,,,,,,,,,
P,162-83828,,,,,,1,,,,,,,,,,
P,162-83829,,,,,,1,,,,,,,,,,
P,162-83830,,,,,,1,,,,,,,,,,
P,162-83831,,,,,,1,,,,,,,,,,
P,162-83832,,,,,,1,,,,,,,,,,
P,162-83833,,,,,,1,,,,,,,,,,
P,162-83834,,,,,,1,,,,,,,,,,
1+,162-83835,,,,,,1,,,,,,,,,,
P,162-83836,,,,,,1,,,,,,,,,,
P,162-83837,,,,,,1,,,,,,,,,,
1+,162-83838,,,,,,1,,,,,,,,,,
P,162-83839,,,,,,1,,,,,,,,,,
P,162-83877,,,,,,1,,,,,,,,,,
P,162-83878,,,,,,1,,,,,,,,,,
P,162-83879,,,,,,1,,,,,,1,,,,
P,162-83880,,,,,,1,,,,,,,,,,
P,162-83881,,,,,,1,,,,,,,,,,
P,162-83882,,,,,,1,,,,,,,,,,
P,162-83883,,,,,,1,,,,,,,,,,
P,162-83884,,,,,,1,,,,,,,,,,
P,162-83885,,,,,,1,,,,,,,,,,
P,162-83901,,,,,,,1,,,,,,,,,
P,162-83902,,,,,,,1,,,,,,,,,
P,162-83903,,,,,,,1,,,,,,,,,
P,162-83904,,,,,,,1,,,,,,,,,
P,162-83905,,,,,,,1,,,,,,,,,
P,162-83906,,,,,,,1,,,,,,,,,
P,162-83907,,,,,,,1,,,,,,,,,
P,162-83908,,,,,,,1,,,,,,,,,
P,162-83909,,,,,,,1,,,,,,,,,
P,162-83910,,,,,,,,1,,,,,,,,
P,162-83911,,,,,,,,1,,,,,,,,
P,162-83912,,,,,,,,1,,,,,,,,
P,162-83913,,,,,,,,1,,,,,,,,
P,162-83914,,,,,,,,1,,,,,,,,
P,162-83915,,,,,,,,1,,,,,,,,
P,162-83917,,,,,,,,1,,,,,,,,
P,162-83918,,,,,,,,1,,,,,,,,
P,162-83919,,,,,,,,1,,,,,,,,
P,162-83920,,,,,,,,1,,,,,,,,
P,162-83921,,,,,,,,1,,,,,,,,
P,162-83922,,,,,,,,1,,,,,,,,
P,162-83923,,,,,,,,1,,,,,,,,
P,162-83924,,,,,,,,1,,,,,,,,
P,162-83929,,,,,,,,1,,,,,,,,
1+,162-83930,,,,,,,,1,,,,,,,,
P,162-83931,,,,,,,,1,,,,,,,,
P,162-83932,,,,,,,,1,,,,,,,,
P,162-83933,,,,,,,,1,,,,,,,,
P,162-83934,,,,,,,,1,,,,,,,,
1+,162-83935,,,,,,,,1,,,,,,,,
P,162-83936,,,,,,,,1,,,,,,,,
P,162-83937,,,,,,,,1,,,,,,,,
1+,162-83938,,,,,,,,1,,,,,,,,
1+,162-83939,,,,,,,,1,,,,,,,,
P,162-83940,,,,,,,,1,,,,,,,,
1+,162-87001,,,,,,,1,,,,,,,,,
1+,162-87002,,,,,,,1,,,,,,,,,
1+,162-87003,,,,,,,1,,,,,,,,,
1+,162-87004,,,,,,,1,,,,,,,,,
1+,162-87005,,,,,,,1,,,,,,,,,
1+,162-87006,,,,,,,1,,,,,,,,,
1+,162-87007,,,,,,,1,,,,,,,,,
1+,162-87008,,,,,,,1,,,,,,,,,
1+,162-87009,,,,,,,1,,,,,,,,,
1+,162-87010,,,,,,,1,,,,,,,,,
1+,162-87011,,,,,,,1,,,,,,,,,
1+,162-87040,,,,,,,1,,,,,1,,,,
P,162-87041,,,,,,,1,,,,,,,,,
P,162-87042,,,,,,,1,,,,,,,,,
P,162-87043,,,,,,,1,,,,,,,,,
P,162-87044,,,,,,,1,,,,,,,,,
P,162-87045,,,,,,,1,,,,,,,,,
P,162-87046,,,,,,,1,,,,,,,,,
P,162-87047,,,,,,,1,,,,,,,,,
P,162-87048,,,,,,,1,,,,,1,,,,
P,162-87049,,,,,,,1,,,,,,,,,
P,162-87050,,,,,,,1,,,,,,,,,
P,162-87051,,,,,,,1,,,,,,,,,
1+,162-87052,,,,,,,1,,,,,,,,,
P,162-87053,,,,,,,1,,,,,1,,,,
P,162-87054,,,,,,,1,,,,,1,,,,
P,162-87055,,,,,,,1,,,,,,,,,
P,162-87056,,,,,,,1,,,,,,,,,
P,162-87057,,,,,,,1,,,,,,,,,
P,162-87058,,,,,,,1,,,,,,,,,
P,162-87059,,,,,,,1,,,,,,,,,
P,162-87060,,,,,,,1,,,,,,,,,
P,162-87061,,,,,,,1,,,,,,,,,
P,162-87062,,,,,,,1,,,,,,,,,
P,162-87063,,,,,,,1,,,,,,,,,
P,162-87064,,,,,,,1,,,,,,,,,
P,162-87065,,,,,,,1,,,,,,,,,
P,162-87066,,,,,,,1,,,,,,,,,
P,162-87067,,,,,,,1,,,,,,,,,
P,162-87068,,,,,,,1,,,,,,,,,
P,162-87069,,,,,,,1,,,,,,,,,
P,162-87070,,,,,,,1,,,,,,,,,
P,162-87071,,,,,,,1,,,,,,1,,,
