data_source,https://origin.cpc.ncep.noaa.gov/products/analysis_monitoring/ensostuff/ONI_v5.php
time,ENSO_sep_oct_nov
2010,-1.6
2011,-1
2012,0.3
2013,-0.2
2014,0.5
2015,2.4
2016,-0.7
2017,-0.7
2018,0.8
2019,0.3
2020,-1.2
2021,-0.8
2022,-1
2023,1.8
2024,-0.3
